name,DA,DB,DC,DD,DE,SDA,SDB,SDC,SDD,UI,WW,DA,DC,DD,SDA,SDB,SDC,SDD,UI,WW,lineage
Altererythrobacter,0.2144,0.06699,0.09128,0.212,0.6971,0.1395,0.1254,0.2121,0.04856,0.2802,0.06593,0.1615,0.1157,0.0973,0.1142,0.09025,0.1283,0.06373,0.07893,0.09819,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae
Erythrobacter,0.146,0.04399,0.09128,0.1293,0.5497,0.1164,0.1011,0.1564,0.04508,0.1859,0.06841,0.1359,0.08904,0.08421,0.08853,0.06825,0.1136,0.05435,0.09153,0.08823,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae
Croceicoccus,0.0178,0.004036,0.002722,0.01492,0.07252,0.007456,0.00755,0.01014,0.002556,0.02272,0.002786,0.01048,0.004744,0.005704,0.01017,0.004794,0.004733,0.002346,0.004311,0.004555,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae
Brevundimonas,0.5765,0.2821,0.4399,0.1079,0.1911,0.6854,0.3014,0.4019,0.1392,2.653,0.2179,2.44,2.527,1.574,1.693,1.367,1.539,1.504,2.086,0.8811,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae
Caulobacter,0.466,0.2325,0.2416,0.0727,0.1827,0.3914,0.2869,0.4572,0.1027,0.9562,0.1978,0.7207,0.5839,0.5116,0.6107,0.4529,0.6716,0.4043,1.05,0.3944,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae
Phenylobacterium,0.01853,0.007668,0.006886,0.003061,0.003606,0.01542,0.01195,0.01698,0.006274,0.04406,0.005572,0.0233,0.02226,0.0265,0.02298,0.01579,0.02209,0.01564,0.02587,0.01535,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Caulobacterales>Caulobacteraceae
Azospirillum,1.268,0.4532,0.9773,0.2506,0.7801,0.7867,1.16,1.251,0.3646,0.824,0.3151,0.7692,0.5419,0.7297,0.7173,0.7394,0.9172,0.5916,0.4742,0.8258,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae
Magnetospirillum,0.2784,0.1299,0.2818,0.1293,0.1695,0.2049,0.3358,0.331,0.1015,0.1721,0.08172,0.1922,0.1288,0.1684,0.171,0.2115,0.2225,0.154,0.1489,0.2183,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae
Rhodospirillum,0.0009624,0.0004036,0.002242,NA,NA,0.001186,0.0006292,0.001267,NA,NA,0.0003095,0.0007766,0.0003649,0.001007,0.0003767,0.001974,0.002104,0.000782,NA,0.00135,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae
Thalassospira,0.008661,0.003632,0.005765,0.02104,0.00641,0.004236,0.004614,0.004308,0.002324,0.002754,0.005262,0.003106,0.006934,0.005368,0.009042,0.005922,0.007363,0.003519,0.00597,0.00523,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Rhodospirillaceae
Roseomonas,0.1804,0.0908,0.2082,0.03673,0.0621,0.1301,0.2737,0.4103,0.08202,0.2279,0.05757,0.2796,0.09707,0.1298,0.1435,0.132,0.2635,0.3421,0.1088,0.2009,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae
Komagataeibacter,0.141,0.06619,0.1537,0.1244,0.4267,0.11,0.1418,0.1751,0.07343,0.1514,0.07553,0.1382,0.0989,0.1097,0.1085,0.1182,0.1867,0.1142,0.125,0.14,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae
Acetobacter,0.07579,0.06336,0.09032,0.1385,0.1611,0.06439,0.05893,0.06868,0.06204,0.09569,0.08574,0.08348,0.07736,0.06777,0.06442,0.06599,0.09677,0.08445,0.09982,0.08941,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae
Acidiphilium,0.2305,0.09363,0.2364,0.08341,0.2196,0.1816,0.3662,0.4083,0.1113,0.252,0.08605,0.2815,0.1595,0.2013,0.2042,0.2087,0.3855,0.2076,0.1519,0.2568,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae
Gluconobacter,0.01371,0.004439,0.01345,0.0111,0.004007,0.009997,0.0172,0.01825,0.005809,0.0117,0.005572,0.01786,0.01241,0.008052,0.01168,0.01495,0.02577,0.008211,0.01393,0.01569,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae
Candidatus Pelagibacter,0.001684,0.0008071,0.002402,0.002296,0.0008013,0.002203,0.0002097,0.002027,0.0009295,0.0179,0.01919,0.003495,0.004014,0.001007,0.002637,0.003948,0.004207,0.006647,0.01327,0.01198,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Pelagibacterales>Pelagibacteraceae
Ehrlichia,0.004571,0.004439,0.009608,0.01339,0.002003,0.005931,0.003146,0.01216,0.004415,0.02547,0.0065,0.0101,0.004379,0.005704,0.003391,0.006768,0.01788,0.01759,0.01094,0.007592,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae
Wolbachia,0.03513,0.03188,0.03219,0.02717,0.01963,0.02135,0.01405,0.02661,0.02138,0.04199,0.02848,0.02912,0.04233,0.01912,0.02486,0.03779,0.04733,0.04575,0.05572,0.03458,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Wolbachieae
Anaplasma,0.004331,0.002421,0.005605,0.004974,0.001603,0.001525,0.003985,0.00887,0.001859,0.02409,0.006191,0.006213,0.008758,0.004362,0.008288,0.004794,0.006837,0.005083,0.008954,0.005399,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae
Neorickettsia,0.003368,0.002421,0.008808,0.001531,0.004007,0.007286,0.002307,0.008363,0.009527,0.03304,0.0065,0.006213,0.008393,0.002013,0.004898,0.004512,0.007363,0.008211,0.007296,0.004892,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Anaplasmataceae
Rickettsia,0.01997,0.023,0.03187,0.02066,0.02123,0.01915,0.01552,0.01977,0.01743,0.05507,0.02724,0.02563,0.03941,0.02181,0.02486,0.03469,0.04681,0.03558,0.03913,0.02581,cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rickettsiales>Rickettsiaceae>Rickettsieae
Pseudomonas,9.529,10.11,10.47,8.28,5.694,16.69,11.22,9.488,5.416,7.39,6.337,8.626,11.45,15.6,8.784,13.31,9.519,7.155,6.345,7.462,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae
Azotobacter,0.04908,0.05045,0.05925,0.01224,0.01122,0.03491,0.06963,0.0811,0.02161,0.02409,0.01857,0.02951,0.03248,0.03221,0.03165,0.04287,0.03208,0.02893,0.0136,0.04403,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Azotobacter&nbsp;group
Acinetobacter,0.1987,9.558,0.72,1.361,0.1526,0.7137,0.4522,0.1391,0.5026,0.2974,0.5299,0.2834,1.229,1.437,0.2739,1.064,0.4628,0.5317,0.5853,0.3971,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae
Psychrobacter,0.05846,0.1453,0.1846,0.4021,0.0617,0.0976,0.04132,0.03751,0.1445,0.1053,0.1545,0.1852,1.227,0.4224,0.1074,0.2236,0.2824,0.1767,0.1867,0.1567,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae
Moraxella,0.02743,0.02623,0.07158,0.08035,0.01482,0.03762,0.01531,0.01369,0.02998,0.02272,0.04829,0.01864,0.03211,0.01879,0.01884,0.02566,0.0284,0.04027,0.07462,0.04673,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Pseudomonadales>Moraxellaceae
Aeromonas,0.6484,0.4928,0.8846,0.5215,0.3414,0.9096,1.025,0.7826,0.3706,0.8922,0.3331,0.3933,0.3511,0.4647,0.4189,0.4887,0.4791,0.3781,0.4129,0.5992,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Aeromonadaceae
Oceanisphaera,0.001925,0.004439,0.009768,0.002678,0.0004007,0.002881,0.002517,0.001014,0.001627,0.0006884,0.002167,0.003106,0.006569,0.0003355,0.004898,0.001692,0.003681,0.001564,0.003316,0.002531,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Aeromonadales>Aeromonadaceae
Enterobacter,0.1374,0.09121,0.2098,0.1833,0.1194,0.1162,0.1531,0.1794,0.09968,0.1005,0.09967,0.08775,0.1004,0.09897,0.08439,0.1027,0.1367,0.1009,0.1406,0.1291,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae
Candidatus Blochmannia,0.003128,0.006861,0.01922,0.01454,0.001202,0.0061,0.001678,0.005322,0.001394,0.02272,0.009905,0.008154,0.01022,0.005368,0.004521,0.008178,0.006311,0.007429,0.008954,0.009616,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>unclassified&nbsp;Enterobacteriaceae>ant
Klebsiella,0.2331,0.201,0.3076,0.2613,0.1763,0.1649,0.2332,1.179,0.1706,0.1542,0.147,0.1503,0.1741,0.1631,0.1522,0.1765,0.2056,0.1505,0.1711,0.2114,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae
Escherichia,0.01973,0.03269,0.04788,0.06773,0.01803,0.02033,0.02223,0.0261,0.01394,0.01652,0.02569,0.01165,0.0343,0.01376,0.01695,0.02284,0.02314,0.0219,0.03748,0.02716,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae
Citrobacter,0.121,0.09726,0.2013,0.3635,0.07572,0.0937,0.1208,0.1733,0.09922,0.1005,0.1049,0.07727,0.08868,0.08656,0.08665,0.09194,0.1157,0.1013,0.1313,0.1257,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae
Salmonella,0.009143,0.007668,0.01377,0.0176,0.002805,0.006778,0.006501,0.008617,0.01534,0.006884,0.006191,0.005436,0.01496,0.005033,0.004521,0.006204,0.004733,0.007038,0.008954,0.007592,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae
Cronobacter,0.08156,0.1263,0.1041,0.2162,0.07773,0.06219,0.07592,0.09377,0.03648,0.06677,0.05788,0.06562,0.06094,0.05704,0.05274,0.06853,0.08993,0.05356,0.07163,0.07895,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae
Kosakonia,0.05798,0.03188,0.07222,0.111,0.05088,0.0405,0.04761,0.06564,0.06692,0.03304,0.04024,0.03689,0.04744,0.03187,0.03504,0.04005,0.03471,0.03793,0.05207,0.05061,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae
Pluralibacter,0.0009624,NA,0.0003203,NA,NA,0.001356,0.001468,0.001267,0.0002324,0.002065,NA,0.0003883,0.0003649,0.001678,0.0007535,0.000282,NA,0.000391,NA,0.0006748,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae
Lelliottia,0.005774,0.005246,0.005124,0.01263,0.004808,0.003219,0.005243,0.005575,0.009295,0.002754,0.0065,0.0007766,0.00146,0.002349,0.003767,0.004512,0.003156,0.00391,0.006633,0.004049,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae
Raoultella,0.06352,0.03551,0.06742,0.1014,0.03446,0.04016,0.05327,0.3165,0.03416,0.03304,0.06098,0.03572,0.03467,0.03691,0.03692,0.04484,0.05049,0.03323,0.04212,0.05871,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae
Candidatus Riesia,0.0007218,NA,0.005124,0.0003826,NA,0.002033,0.0004194,0.007603,0.00395,0.03373,0.0003095,0.003883,0.00146,0.000671,0.004898,0.003666,0.003156,0.000391,0.001327,0.003543,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae
Leclercia,0.04331,0.0226,0.05605,0.06658,0.02164,0.02745,0.04006,0.03675,0.01301,0.02134,0.02136,0.0264,0.02518,0.02248,0.01959,0.02651,0.02735,0.02659,0.02587,0.02919,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae
Shigella,NA,NA,NA,NA,NA,0.0001694,NA,NA,NA,0.00413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae
Serratia,0.6265,0.4007,0.8378,0.8655,0.3566,0.5788,0.6585,0.8949,0.392,0.4826,0.4012,0.4108,0.4054,0.4388,0.4016,0.5028,0.5012,0.4199,0.4689,0.5506,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae
Yersinia,0.1302,0.1606,0.2564,0.5139,0.07332,0.1039,0.0797,0.08363,0.1366,0.2595,0.169,0.12,0.1712,0.1751,0.2095,0.2888,0.2256,0.1943,0.2119,0.9436,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae
Rahnella,0.114,0.1138,0.0988,0.1408,0.07652,0.1561,0.5526,0.06285,0.05461,0.07366,0.113,0.5028,0.3974,0.2801,0.5677,0.6977,0.4544,0.1615,0.1436,0.1486,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae
Pantoea,0.05678,0.03834,0.06678,0.1182,0.03045,0.04541,0.03523,0.03092,0.0409,0.03717,0.04891,0.03262,0.05291,0.03389,0.02939,0.03807,0.04365,0.03949,0.04311,0.03711,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae
Erwinia,0.04643,0.03551,0.0647,0.1649,0.03566,0.04304,0.04069,0.03193,0.02068,0.02341,0.02786,0.02601,0.03613,0.02952,0.02675,0.02933,0.03103,0.03441,0.04875,0.04083,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae
Tatumella,0.0009624,0.0004036,0.001121,0.004974,NA,NA,0.001468,0.0002534,0.0002324,NA,0.0003095,0.0003883,0.001095,0.001342,NA,0.000564,0.001052,0.000782,0.0009949,0.0001687,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae
Mixta,NA,NA,0.0003203,NA,NA,0.0005083,0.0006292,0.0007603,NA,0.002065,NA,0.0003883,NA,NA,0.0003767,0.000282,NA,NA,0.0003316,NA,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae
Dickeya,0.2404,0.1965,0.3521,0.347,0.1547,0.1774,0.2206,0.239,0.1617,0.181,0.1545,0.1375,0.1763,0.1493,0.1435,0.1844,0.2051,0.1681,0.2089,0.2224,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Pectobacteriaceae
Pectobacterium,0.0652,0.05045,0.1086,0.1228,0.08294,0.1293,0.06103,0.05728,0.06529,0.06471,0.05695,0.04543,0.04963,0.03657,0.04106,0.04653,0.04628,0.05904,0.05737,0.0604,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Pectobacteriaceae
Sodalis,0.02983,0.02583,0.06293,0.06352,0.04367,0.03711,0.03712,0.04815,0.01952,0.03235,0.02755,0.0264,0.02846,0.02181,0.02562,0.02566,0.03892,0.02815,0.04278,0.0383,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Pectobacteriaceae
Brenneria,0.002165,0.002421,0.006085,0.001913,0.001202,0.002372,0.002936,0.003548,0.0006971,0.002754,0.001857,0.001553,0.0003649,0.001007,0.001507,0.001692,0.003156,0.000782,0.002985,0.003374,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Pectobacteriaceae
Providencia,0.01179,0.01735,0.02674,0.06046,0.008013,0.01457,0.006082,0.006843,0.03439,0.01308,0.01672,0.01048,0.01861,0.0104,0.01093,0.007896,0.01262,0.02072,0.02222,0.01738,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae
Proteus,0.00385,0.0008071,0.01057,0.03941,0.002003,0.004575,0.001049,0.001521,0.003253,0.004819,0.00681,0.003106,0.004379,0.005368,0.00113,0.004794,0.003156,0.008993,0.01161,0.004218,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae
Xenorhabdus,0.008661,0.01453,0.01762,0.04094,0.008414,0.00627,0.004614,0.005322,0.006041,0.01101,0.007738,0.007766,0.008028,0.004697,0.004898,0.009871,0.009993,0.01564,0.01094,0.009785,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae
Photorhabdus,0.006255,0.009282,0.006726,0.01951,0.002805,0.005083,0.00776,0.005322,0.007203,0.006196,0.008977,0.006989,0.008758,0.005033,0.007158,0.00423,0.004207,0.006256,0.008623,0.007254,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae
Arsenophonus,0.0002406,NA,0.0001601,NA,NA,NA,NA,NA,NA,NA,0.0003095,0.0007766,NA,0.000671,NA,NA,NA,NA,NA,NA,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Morganellaceae
Edwardsiella,0.1246,0.07708,0.1702,0.1752,0.1014,0.09235,0.1497,0.1886,0.06692,0.1611,0.07491,0.07455,0.08977,0.08153,0.08213,0.1007,0.1231,0.1251,0.1184,0.135,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Hafniaceae
Hafnia,0.02189,0.0226,0.03347,0.04821,0.01603,0.02745,0.01321,0.01216,0.01464,0.0179,0.02291,0.0101,0.01496,0.01141,0.01432,0.01861,0.01262,0.02424,0.02985,0.02396,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Hafniaceae
Phytobacter,0.0002406,NA,0.0001601,NA,0.001202,NA,0.0002097,0.001267,NA,NA,NA,0.0003883,NA,0.000671,NA,NA,NA,NA,NA,0.0003374,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>unclassified&nbsp;Enterobacterales
Stenotrophomonas,0.8705,0.4189,1.026,0.3222,0.472,0.9581,0.9941,1.02,0.4018,0.57,0.3074,0.7288,0.7536,0.7743,0.8978,0.9746,0.9014,0.4586,0.4321,0.6919,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae
Xanthomonas,1.036,0.5787,1.253,0.4687,0.4055,0.9941,1.132,1.207,0.5444,0.7655,0.3826,0.9059,0.8817,0.9793,0.9407,1.094,1.149,0.64,0.6314,0.8683,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae
Lysobacter,0.4319,0.1747,0.4497,0.05854,0.1422,0.3767,0.5153,0.5251,0.1364,0.1817,0.09224,0.3603,0.4237,0.457,0.5165,0.487,0.5191,0.1924,0.1353,0.3345,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae
Luteimonas,0.01684,0.005246,0.01505,0.03788,0.01402,0.01339,0.01825,0.01723,0.005112,0.01239,0.002476,0.0233,0.02117,0.01577,0.01658,0.02538,0.01893,0.01017,0.00398,0.01333,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae
Pseudoxanthomonas,0.01155,0.002825,0.009448,0.0007653,0.001202,0.01271,0.01426,0.01445,0.00488,0.008261,0.004953,0.01204,0.009123,0.006039,0.008288,0.01128,0.01262,0.004301,0.006633,0.007086,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae
Xylella,0.004812,0.003632,0.004484,0.01071,0.001202,0.00305,0.002307,0.003548,0.002091,0.006196,0.009286,0.003883,0.004014,0.00302,0.007535,0.003102,0.006311,0.009775,0.004975,0.00776,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Xanthomonadaceae
Dyella,0.03922,0.01977,0.0498,0.0111,0.01162,0.03389,0.07005,0.08515,0.01812,0.03304,0.01083,0.033,0.03175,0.03422,0.04106,0.04146,0.04891,0.02229,0.0199,0.04049,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Xanthomonadales>Rhodanobacteraceae
Halomonas,0.365,0.2966,0.6221,0.9489,0.2156,0.2972,0.4243,0.4509,0.3472,0.3483,0.4098,0.2469,0.4178,0.2473,0.2441,0.293,0.3271,0.3691,0.4822,0.4744,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae
Kushneria,0.01468,0.01332,0.0253,0.03138,0.04968,0.01406,0.02433,0.02864,0.009759,0.01101,0.01486,0.009319,0.01204,0.01711,0.01017,0.01213,0.01788,0.01173,0.01691,0.01805,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Halomonadaceae
Alcanivorax,0.1225,0.08556,0.1878,0.3608,0.08574,0.1193,0.1411,0.1518,0.09318,0.115,0.09379,0.07999,0.09671,0.08555,0.08853,0.1108,0.1147,0.08954,0.1386,0.149,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Alcanivoracaceae
Marinomonas,0.004812,0.004843,0.009928,0.0176,0.0004007,0.009997,0.005872,0.006336,0.009527,0.002754,0.004953,0.005436,0.01277,0.006039,0.002637,0.006486,0.007889,0.00782,0.009286,0.00911,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Oceanospirillaceae
Kangiella,0.006015,0.006861,0.0205,0.02143,0.004007,0.009658,0.004614,0.003041,0.003718,0.007572,0.004643,0.008154,0.01204,0.004697,0.006781,0.008178,0.01473,0.01017,0.006964,0.008604,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Oceanospirillales>Kangiellaceae
Vibrio,0.167,0.2333,0.3571,0.8074,0.1486,0.1679,0.104,0.09808,0.2928,0.2547,0.4482,0.1452,0.3014,0.1218,0.1748,0.1966,0.2077,0.348,0.4179,0.3096,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae
Photobacterium,0.0007218,0.002421,0.001121,0.009183,NA,0.001694,0.0004194,0.0005069,0.005344,NA,0.004024,0.0007766,0.002919,0.000671,0.00113,0.00282,0.001052,0.002737,0.001327,0.001012,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae
Aliivibrio,0.002647,0.01937,0.008167,0.009566,0.001202,0.003219,0.002097,0.002281,0.002091,0.006884,0.003714,0.00233,0.009488,0.002349,0.004144,0.001974,0.006311,0.006256,0.01028,0.004386,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Vibrionales>Vibrionaceae
Shewanella,0.2497,0.2825,0.4159,0.6466,0.1314,0.4329,0.1418,0.1087,0.2686,0.2912,0.329,0.1514,0.3365,0.1506,0.2061,0.2473,0.2172,0.3128,0.3423,0.2585,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Shewanellaceae
Marinobacter,0.1446,0.1078,0.2226,0.4458,0.09095,0.1098,0.1286,0.1282,0.1199,0.1308,0.1402,0.07649,0.139,0.08388,0.08778,0.1142,0.1089,0.1329,0.1681,0.1609,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae
Alteromonas,0.07603,0.09363,0.1741,0.339,0.06731,0.07235,0.03964,0.05043,0.1485,0.1349,0.1452,0.05552,0.1255,0.04865,0.06442,0.0753,0.1068,0.1267,0.1867,0.1176,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae
Glaciecola,NA,NA,0.0003203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000391,NA,NA,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae
Salinimonas,NA,NA,0.0001601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Alteromonadaceae
Pseudoalteromonas,0.1785,0.2526,0.3944,0.9692,0.1402,0.1845,0.09563,0.09934,0.2905,0.221,0.3482,0.1499,0.3011,0.1352,0.1499,0.1768,0.1946,0.2893,0.4298,0.2689,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Pseudoalteromonadaceae
Colwellia,0.02238,0.02542,0.06678,0.1603,0.009616,0.0244,0.01342,0.01191,0.02091,0.02685,0.026,0.02174,0.03284,0.01678,0.01884,0.01805,0.02261,0.04614,0.05074,0.02868,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Colwelliaceae
Idiomarina,0.01371,0.01977,0.02995,0.07232,0.004007,0.01423,0.006501,0.007856,0.01255,0.01377,0.01888,0.008154,0.01423,0.008723,0.006404,0.011,0.01315,0.02307,0.0189,0.01451,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Idiomarinaceae
Moritella,0.002647,0.003632,0.01281,0.03444,0.002003,0.004914,0.003775,0.002534,0.002324,0.002754,0.003714,0.004271,0.005474,0.003355,0.003767,0.00282,0.007363,0.01095,0.00597,0.005399,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Moritellaceae
Psychromonas,0.002165,0.0008071,0.001121,0.0003826,0.0008013,0.001694,0.0006292,0.0005069,0.0009295,NA,0.0003095,0.0007766,0.001095,0.001007,0.00113,0.000564,0.001052,0.001955,0.0009949,0.0006748,cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Alteromonadales>Psychromonadaceae
